# desired name | alternative 1 | alt 2 etc.
#   for the alternatives, spaces and .,- don't matter
#   accents and non-ascii characters will be transliterated away
J.M. Coult. | Coult.
A. Braun | BR | A.Br. | Braun | Al. Braun
Bouche | C.D. Bouché | C.D. Bouche | Bouché | Bouche,A.M.
# weird S. hildebrandtii has "BR & Bouche, A. M."
Daeniker | Daniker
Dammer | Damm.
D.E. Symon | Symon
Diekm. | Dieckman
E. Kesicki | Kesicki
J.F. Gmel. | Gmelin | Gmel.
# Gmel. is based on S. corymbiferum; there is also a C.C. Gmel.
Guillaumin | Guillauntin
Hammerst. | Hammersteinxx | Hammerstein
H. Durand | H.Dur.xx
B. Heyne | Heyn
Hjert. | Hjerting
Hort. | hort. | Hort.Hort.
Hort. Paris | Hort. Par.
Hosok | Hosokawa
H.J.P. Winkl. | H. Winkl. | H. Winkler
J.M. Black | J. Black
Granados-Tochoy | J.C.Granados
Fobes | J.F. Forbes
Franc.-Ort. | J. Francisco-Ortega
Juz. | Juzepczuk
H. Lev. | Lev.
L.E. Lopez | L. Lopez
Ruiz | Ruiz Lopez
Lodd. | Loddigges
Markgr. | Marcgraf
C.V. Morton | MORTON | C. Morton | Morton
# there is a no-initials Morton, but he hasn't yet arisen for Solanaceae
Moritzi | Mor.xx
Noronha | Noronhs
N.W. Simmonds | Simmonds
K.A. Okada | Okada,
Moritz | O. Moritz
Paill. | Pailleux | Paillieux
# ? Pall.
Peten. | Petenatti
F.Phil. | Phil.f. | Philippif
Phil. | Philippi
L. Planch. | Planch.
Pojark. | Pojarkova
Polg. | Polgar | Polgdr
R.A. Howard | Howard
# the original (no initials) Howard is J.E., but he hasn't yet arisen for Solanaceae
R.E.D. Baker | Baker
# the original (no initials) Baker is J.G., but he hasn't yet arisen for Solanaceae
J. Rémy | J.Remy | Remy
A. Rich. | Rich
L. Riley | Riley
R.J.F. Hend. | R.J.F. Henderson | R.J. Henderson
R.N. Lester | Lester
K.E. Roe | Roe
Salzm. | Salzmann
Schauer | Schau | S. Schauer
# I think J.C. is desired, and S. is a mistake
Schonb.-Tem. | Schonbeck-Temesy | Schonebeck-Temesy
T. Durand | Th. Dur. | Th.Dur.xx
Tarn. | T.R. Tarn
Valenz. | Val.
Vitman | Vit. | Vitm.
Van Heurck | von Huerck | von Heurck | Heurck
Voronts. | Vorontsova
Witasek | Witazek
Wittm. | Wittmack
C.H. Wright | C.H.Wr.
C. Wright | Wright
# mostly Wright ex Griseb.
De Wild. | Wildem. | deWild. | DeWild.
Bertol. | Bertoloni
C. Presl | C. Presl. | PRESL | Presl.
G.J. Anderson | G.J.A | G.J.A.
A. Child | Child
Bukasov | Buk.
R.Br. | Brown
Buckley | Buckl.xx
Benítez | Rojas | C. Benitez de Rojas
# Carmen E. Benitez de Rojas = Rojas in solsource
# I think Rojas Acosta is one other person
Hill | Hill.
Bhatt | Bhatt.
Miers | Miers.
A.St.-Hil. | A.St.Hil.
Loudon | LOUDON
Ph. | Ph
Court | Court.
Voss | VOSS
Koch | KOCH
Sendtn. | Sendt. | Sendt | Sendtn | Sendtner
Gillies | Gill | Gill.
# Gilli and Gillies and Gillis and Gilly are all full last names; I'm pretty sure about Gill here but less so about Gill.
Mart. | Mart | Martius
# M.Martínez - Mahinda Martínez, Martínez - Maximino Martínez
Donn.Sm. | Donn Sm.
Dunal | Dun. | Duna | Duanal
# Hiern and Hieron. are different
Jacq. | Jacquin
# there is also a J. Jacq.
Jacques | H. Jacq.
Juss. | Jussieu
Kreyer | Kryer
Scolnik | Scolnick
O.E. Schulz | O.E. Schultz | Schulz
Eshbaugh | Eschbaugh
Hemsl. | Hemsley
A.S. Barclay | Barclay
F.A. Barkley | Barkley
Barboza | Barbosa
Hunz. | Hurnz. | Hunziker
Vilm. | Vilmorin
# there are several Vilmorins; no intials for (Pierre) Louis (François)( Lévêque) de Vilmorin
Klotzsch | Klotsch
Jeffrey | Jeffr.
Griseb. | Grizeb. | Grisebach
Asch. | Aschers.
T. Ando | Ando
C.R. Ball | C.F. Ball
Castillo | R. Castillo
C. Chen | Chen | Chen Cheih
C.L. Chen | Chen Chung-lien | Chung L.Chen | Chung L. Chen
