# desired name | alternative 1 | alt 2 etc.
#   for the alternatives, spaces and .,- don't matter
#   accents and non-ascii characters will be transliterated away
J.M. Coult. | Coult.
A. Braun | BR | A.Br. | Braun | Al. Braun
Bouche | C.D. Bouché | C.D. Bouche | Bouché | Bouche,A.M.
# weird S. hildebrandtii has "BR & Bouche, A. M."
Daeniker | Daniker
Dammer | Damm.
D.E. Symon | Symon
Diekm. | Dieckman
E. Kesicki | Kesicki
J.F. Gmel. | Gmelin | Gmel.
# Gmel. is based on S. corymbiferum; there is also a C.C. Gmel.
Guillaumin | Guillauntin
Hammerst. | Hammersteinxx | Hammerstein
H. Durand | H.Dur.xx
B. Heyne | Heyn
Hjert. | Hjerting
Hort. | hort. | Hort.Hort.
Hort. Paris | Hort. Par.
Hosok | Hosokawa
H.J.P. Winkl. | H. Winkl. | H. Winkler
J.M. Black | J. Black
Granados-Tochoy | J.C.Granados
A. Gray | Asa Gray | A.Grey
